249		525		-6.625		-2.58
250		625		-6.625		-3.13
251		724		-4.75		0.186
252		24		-4.75		-0.094
253		124		-4.75		-0.393
254		224		-4.75		-0.854
255		324		-4.75		-1.613
256		424		-4.75		-2.371
257		524		-4.75		-2.58
258		624		-4.75		-3.13
259		723		-2.875		0.224
260		23		-2.875		-0.057
261		123		-2.875		-0.356
262		223		-2.875		-0.826
263		323		-2.875		-1.594
264		423		-2.875		-2.362
265		523		-2.875		-2.58
266		623		-2.875		-3.13
267		722		-1		0.261
268		22		-1		-0.019
269		122		-1		-0.318
270		222		-1		-0.798
271		322		-1		-1.575
272		422		-1		-2.353
273		522		-1		-2.58
274		622		-1		-3.13
